Designator,Mid X,Mid Y,Layer,Rotation
C_LS1,148.500000,-23.000000,Bottom,90.000000
C_RGB1,83.987500,-14.775000,Bottom,90.000000
C_RGB3,64.937500,-16.680000,Bottom,90.000000
C_RGB4,103.037500,-16.680000,Bottom,90.000000
C_RGB7,45.887500,-18.585000,Bottom,90.000000
C_RGB8,122.087500,-18.585000,Bottom,90.000000
C_RGB11,26.837500,-19.537500,Bottom,90.000000
C_RGB13,83.987500,-33.825000,Bottom,90.000000
C_RGB15,64.937500,-35.730000,Bottom,90.000000
C_RGB16,103.037500,-35.730000,Bottom,90.000000
C_RGB19,45.887500,-37.635000,Bottom,90.000000
C_RGB20,122.087500,-37.635000,Bottom,90.000000
C_RGB23,24.456300,-38.587500,Bottom,90.000000
C_RGB25,83.987500,-52.875000,Bottom,90.000000
C_RGB26,139.500000,-53.500000,Bottom,90.000000
C_RGB29,64.937500,-54.780000,Bottom,90.000000
C_RGB30,103.037500,-54.780000,Bottom,90.000000
C_RGB33,45.887500,-56.685000,Bottom,90.000000
C_RGB34,122.087500,-56.685000,Bottom,90.000000
C_RGB37,24.456300,-57.637500,Bottom,90.000000
C_RGB40,83.987500,-71.925000,Bottom,90.000000
C_RGB41,139.875000,-73.000000,Bottom,90.000000
C_RGB43,64.937500,-73.830000,Bottom,90.000000
C_RGB44,103.037500,-73.830000,Bottom,90.000000
C_RGB47,45.887500,-75.735000,Bottom,90.000000
C_RGB48,122.087500,-75.735000,Bottom,90.000000
C_RGB51,24.456300,-76.687500,Bottom,90.000000
C_RGB53,91.131300,-92.880000,Bottom,90.000000
C_RGB54,64.937500,-94.785000,Bottom,90.000000
C_RGB55,33.981300,-95.737500,Bottom,90.000000
C_RGB58,124.138700,-109.019200,Bottom,165.000000
C_RGB59,143.155900,-111.649600,Bottom,165.000000
C_RGB_BULK1,156.000000,-36.500000,Bottom,90.000000
C_RGB_IN1,144.000000,-38.800000,Bottom,90.000000
C_RGB_OUT1_1,150.000000,-34.000000,Bottom,90.000000
C_RGB_OUT2_1,153.000000,-34.000000,Bottom,90.000000
D1,99.000000,-13.350000,Bottom,90.000000
D3,79.500000,-14.350000,Bottom,90.000000
D4,118.000000,-20.000000,Bottom,90.000000
D7,61.000000,-18.350000,Bottom,90.000000
D8,137.000000,-20.350000,Bottom,90.000000
D11,39.500000,-22.350000,Bottom,90.000000
D13,98.500000,-31.850000,Bottom,90.000000
D15,79.000000,-33.850000,Bottom,90.000000
D16,116.000000,-38.850000,Bottom,90.000000
D19,61.037500,-38.350000,Bottom,90.000000
D20,137.000000,-39.500000,Bottom,90.000000
D23,40.500000,-39.850000,Bottom,90.000000
D25,98.500000,-50.350000,Bottom,90.000000
D26,155.500000,-54.500000,Bottom,90.000000
D29,79.500000,-51.850000,Bottom,90.000000
D30,117.500000,-53.350000,Bottom,90.000000
D33,60.500000,-54.435000,Bottom,90.000000
D34,137.000000,-58.350000,Bottom,90.000000
D37,41.000000,-57.850000,Bottom,90.000000
D40,98.000000,-70.350000,Bottom,90.000000
D41,155.500000,-73.500000,Bottom,90.000000
D43,79.000000,-72.850000,Bottom,90.000000
D44,117.500000,-71.850000,Bottom,90.000000
D47,60.000000,-73.850000,Bottom,90.000000
D48,137.000000,-77.350000,Bottom,90.000000
D51,40.000000,-76.500000,Bottom,90.000000
D53,106.500000,-94.000000,Bottom,90.000000
D54,82.500000,-90.000000,Bottom,90.000000
D55,52.000000,-91.850000,Bottom,90.000000
D58,126.906200,-92.072900,Bottom,165.000000
D59,138.593800,-83.427000,Bottom,-15.000000
J1,141.500000,-30.300000,Bottom,180.000000
L_RGB1,147.000000,-30.600000,Bottom,180.000000
R_RGB_DATA1,141.800000,-23.000000,Bottom,90.000000
R_RGB_EN_PD1,148.000000,-39.500000,Bottom,180.000000
R_RGB_FB_BOT1,147.000000,-37.300000,Bottom,180.000000
R_RGB_FB_TOP1,150.000000,-37.300000,Bottom,180.000000
U_LS1,145.000000,-23.000000,Bottom,180.000000
U_RGB1,147.000000,-34.000000,Bottom,180.000000
